Year_Month,Card_type,Travel_Mode,Trip,DATE
Jul-16,Adult,Bus,13146432,1/07/2016
Jul-16,Child/Youth,Bus,1079640,1/07/2016
Jul-16,Concession,Bus,1845322,1/07/2016
Jul-16,Employee,Bus,64989,1/07/2016
Jul-16,Free Travel,Bus,25228,1/07/2016
Jul-16,School Student,Bus,1297240,1/07/2016
Jul-16,Senior/Pensioner,Bus,3739658,1/07/2016
Jul-16,Adult,Ferry,861272,1/07/2016
Jul-16,Child/Youth,Ferry,108450,1/07/2016
Jul-16,Concession,Ferry,71362,1/07/2016
Jul-16,Employee,Ferry,5251,1/07/2016
Jul-16,Free Travel,Ferry,1317,1/07/2016
Jul-16,School Student,Ferry,1295,1/07/2016
Jul-16,Senior/Pensioner,Ferry,152188,1/07/2016
Jul-16,Sgl Trip Ferry Adult,Ferry,10030,1/07/2016
Jul-16,Sgl Trip Ferry Child/Youth,Ferry,2547,1/07/2016
Jul-16,Adult,Light Rail,595732,1/07/2016
Jul-16,Child/Youth,Light Rail,48667,1/07/2016
Jul-16,Concession,Light Rail,27107,1/07/2016
Jul-16,Employee,Light Rail,2,1/07/2016
Jul-16,Free Travel,Light Rail,693,1/07/2016
Jul-16,LR-MST,Light Rail,24913,1/07/2016
Jul-16,School Student,Light Rail,994,1/07/2016
Jul-16,Senior/Pensioner,Light Rail,128228,1/07/2016
Jul-16,Sgl Trip LR Adult,Light Rail,1094,1/07/2016
Jul-16,Sgl Trip LR Child/Youth,Light Rail,302,1/07/2016
Jul-16,Adult,Train,22145198,1/07/2016
Jul-16,Child/Youth,Train,1107160,1/07/2016
Jul-16,Concession,Train,2105013,1/07/2016
Jul-16,Employee,Train,264074,1/07/2016
Jul-16,Free Travel,Train,24395,1/07/2016
Jul-16,School Student,Train,511309,1/07/2016
Jul-16,Senior/Pensioner,Train,2567262,1/07/2016
Jul-16,Sgl Trip Rail Adult,Train,75274,1/07/2016
Jul-16,Sgl Trip Rail Child/Youth,Train,19564,1/07/2016
Aug-16,Adult,Bus,14080864,1/08/2016
Aug-16,Adult Single Bus Trip 1,Bus,213548,1/08/2016
Aug-16,Adult Single Bus Trip 2,Bus,149890,1/08/2016
Aug-16,Adult Single Bus Trip 3,Bus,60625,1/08/2016
Aug-16,Child/Youth,Bus,1034488,1/08/2016
Aug-16,Child/Youth Single Bus Trip 1,Bus,85540,1/08/2016
Aug-16,Child/Youth Single Bus Trip 2,Bus,52781,1/08/2016
Aug-16,Child/Youth Single Bus Trip 3,Bus,15864,1/08/2016
Aug-16,Concession,Bus,2168046,1/08/2016
Aug-16,Employee,Bus,73112,1/08/2016
Aug-16,Free Travel,Bus,32202,1/08/2016
Aug-16,School Student,Bus,3135595,1/08/2016
Aug-16,Senior/Pensioner,Bus,4108217,1/08/2016
Aug-16,Adult,Ferry,773097,1/08/2016
Aug-16,Child/Youth,Ferry,81256,1/08/2016
Aug-16,Concession,Ferry,25177,1/08/2016
Aug-16,Employee,Ferry,4780,1/08/2016
Aug-16,Free Travel,Ferry,1728,1/08/2016
Aug-16,School Student,Ferry,2701,1/08/2016
Aug-16,Senior/Pensioner,Ferry,158521,1/08/2016
Aug-16,Sgl Trip Ferry Adult,Ferry,39692,1/08/2016
Aug-16,Sgl Trip Ferry Child/Youth,Ferry,8103,1/08/2016
Aug-16,Adult,Light Rail,626133,1/08/2016
Aug-16,Child/Youth,Light Rail,40298,1/08/2016
Aug-16,Concession,Light Rail,31569,1/08/2016
Aug-16,Free Travel,Light Rail,888,1/08/2016
Aug-16,School Student,Light Rail,4940,1/08/2016
Aug-16,Senior/Pensioner,Light Rail,134404,1/08/2016
Aug-16,Sgl Trip LR Adult,Light Rail,2068,1/08/2016
Aug-16,Sgl Trip LR Child/Youth,Light Rail,500,1/08/2016
Aug-16,Adult,Train,24129963,1/08/2016
Aug-16,Child/Youth,Train,946988,1/08/2016
Aug-16,Concession,Train,2656456,1/08/2016
Aug-16,Employee,Train,304666,1/08/2016
Aug-16,Free Travel,Train,30830,1/08/2016
Aug-16,School Student,Train,1125676,1/08/2016
Aug-16,Senior/Pensioner,Train,2849358,1/08/2016
Aug-16,Sgl Trip Rail Adult,Train,296696,1/08/2016
Aug-16,Sgl Trip Rail Child/Youth,Train,53347,1/08/2016
Sep-16,Adult,Bus,13283356,1/09/2016
Sep-16,Adult Single Bus Trip 1,Bus,185031,1/09/2016
Sep-16,Adult Single Bus Trip 2,Bus,122355,1/09/2016
Sep-16,Adult Single Bus Trip 3,Bus,50083,1/09/2016
Sep-16,Child/Youth,Bus,1130778,1/09/2016
Sep-16,Child/Youth Single Bus Trip 1,Bus,71536,1/09/2016
Sep-16,Child/Youth Single Bus Trip 2,Bus,47969,1/09/2016
Sep-16,Child/Youth Single Bus Trip 3,Bus,14739,1/09/2016
Sep-16,Concession,Bus,1736089,1/09/2016
Sep-16,Employee,Bus,71783,1/09/2016
Sep-16,Free Travel,Bus,32715,1/09/2016
Sep-16,School Student,Bus,2244235,1/09/2016
Sep-16,Senior/Pensioner,Bus,4020871,1/09/2016
Sep-16,Adult,Ferry,783747,1/09/2016
Sep-16,Child/Youth,Ferry,103302,1/09/2016
Sep-16,Concession,Ferry,25070,1/09/2016
Sep-16,Employee,Ferry,4975,1/09/2016
Sep-16,Free Travel,Ferry,1920,1/09/2016
Sep-16,School Student,Ferry,1830,1/09/2016
Sep-16,Senior/Pensioner,Ferry,165216,1/09/2016
Sep-16,Sgl Trip Ferry Adult,Ferry,46928,1/09/2016
Sep-16,Sgl Trip Ferry Child/Youth,Ferry,10730,1/09/2016
Sep-16,Adult,Light Rail,545779,1/09/2016
Sep-16,Child/Youth,Light Rail,41089,1/09/2016
Sep-16,Concession,Light Rail,26988,1/09/2016
Sep-16,Free Travel,Light Rail,844,1/09/2016
Sep-16,School Student,Light Rail,4389,1/09/2016
Sep-16,Senior/Pensioner,Light Rail,135478,1/09/2016
Sep-16,Sgl Trip LR Adult,Light Rail,2773,1/09/2016
Sep-16,Sgl Trip LR Child/Youth,Light Rail,733,1/09/2016
Sep-16,Adult,Train,23062165,1/09/2016
Sep-16,Child/Youth,Train,1094712,1/09/2016
Sep-16,Concession,Train,2131790,1/09/2016
Sep-16,Employee,Train,302130,1/09/2016
Sep-16,Free Travel,Train,30292,1/09/2016
Sep-16,School Student,Train,833102,1/09/2016
Sep-16,Senior/Pensioner,Train,2816602,1/09/2016
Sep-16,Sgl Trip Rail Adult,Train,311066,1/09/2016
Sep-16,Sgl Trip Rail Child/Youth,Train,66493,1/09/2016
Oct-16,Adult,Bus,13399297,1/10/2016
Oct-16,Adult Single Bus Trip 1,Bus,183834,1/10/2016
Oct-16,Adult Single Bus Trip 2,Bus,120313,1/10/2016
Oct-16,Adult Single Bus Trip 3,Bus,49327,1/10/2016
Oct-16,Child/Youth,Bus,1180998,1/10/2016
Oct-16,Child/Youth Single Bus Trip 1,Bus,65256,1/10/2016
Oct-16,Child/Youth Single Bus Trip 2,Bus,44063,1/10/2016
Oct-16,Child/Youth Single Bus Trip 3,Bus,13664,1/10/2016
Oct-16,Concession,Bus,1722565,1/10/2016
Oct-16,Employee,Bus,71428,1/10/2016
Oct-16,Free Travel,Bus,33031,1/10/2016
Oct-16,School Student,Bus,2115831,1/10/2016
Oct-16,Senior/Pensioner,Bus,4095695,1/10/2016
Oct-16,Adult,Ferry,879150,1/10/2016
Oct-16,Child/Youth,Ferry,119399,1/10/2016
Oct-16,Concession,Ferry,24094,1/10/2016
Oct-16,Employee,Ferry,5435,1/10/2016
Oct-16,Free Travel,Ferry,2081,1/10/2016
Oct-16,School Student,Ferry,1594,1/10/2016
Oct-16,Senior/Pensioner,Ferry,187265,1/10/2016
Oct-16,Sgl Trip Ferry Adult,Ferry,52692,1/10/2016
Oct-16,Sgl Trip Ferry Child/Youth,Ferry,9442,1/10/2016
Oct-16,Adult,Light Rail,554854,1/10/2016
Oct-16,Child/Youth,Light Rail,39224,1/10/2016
Oct-16,Concession,Light Rail,26874,1/10/2016
Oct-16,Employee,Light Rail,1,1/10/2016
Oct-16,Free Travel,Light Rail,899,1/10/2016
Oct-16,School Student,Light Rail,4304,1/10/2016
Oct-16,Senior/Pensioner,Light Rail,147173,1/10/2016
Oct-16,Sgl Trip LR Adult,Light Rail,2916,1/10/2016
Oct-16,Sgl Trip LR Child/Youth,Light Rail,715,1/10/2016
Oct-16,Adult,Train,22608261,1/10/2016
Oct-16,Child/Youth,Train,1120560,1/10/2016
Oct-16,Concession,Train,2065326,1/10/2016
Oct-16,Employee,Train,289301,1/10/2016
Oct-16,Free Travel,Train,30205,1/10/2016
Oct-16,School Student,Train,759479,1/10/2016
Oct-16,Senior/Pensioner,Train,2859632,1/10/2016
Oct-16,Sgl Trip Rail Adult,Train,311836,1/10/2016
Oct-16,Sgl Trip Rail Child/Youth,Train,62233,1/10/2016
Nov-16,Adult,Bus,14203977,1/11/2016
Nov-16,Adult Single Bus Trip 1,Bus,190359,1/11/2016
Nov-16,Adult Single Bus Trip 2,Bus,122653,1/11/2016
Nov-16,Adult Single Bus Trip 3,Bus,48268,1/11/2016
Nov-16,Child/Youth,Bus,1142170,1/11/2016
Nov-16,Child/Youth Single Bus Trip 1,Bus,57618,1/11/2016
Nov-16,Child/Youth Single Bus Trip 2,Bus,33400,1/11/2016
Nov-16,Child/Youth Single Bus Trip 3,Bus,9669,1/11/2016
Nov-16,Concession,Bus,1391898,1/11/2016
Nov-16,Employee,Bus,76755,1/11/2016
Nov-16,Free Travel,Bus,36217,1/11/2016
Nov-16,School Student,Bus,2792634,1/11/2016
Nov-16,Senior/Pensioner,Bus,4316765,1/11/2016
Nov-16,Adult,Ferry,929645,1/11/2016
Nov-16,Child/Youth,Ferry,76663,1/11/2016
Nov-16,Concession,Ferry,25891,1/11/2016
Nov-16,Employee,Ferry,5914,1/11/2016
Nov-16,Free Travel,Ferry,2271,1/11/2016
Nov-16,School Student,Ferry,2150,1/11/2016
Nov-16,Senior/Pensioner,Ferry,195969,1/11/2016
Nov-16,Sgl Trip Ferry Adult,Ferry,57975,1/11/2016
Nov-16,Sgl Trip Ferry Child/Youth,Ferry,6023,1/11/2016
Nov-16,Adult,Light Rail,511961,1/11/2016
Nov-16,Child/Youth,Light Rail,28564,1/11/2016
Nov-16,Concession,Light Rail,25699,1/11/2016
Nov-16,Free Travel,Light Rail,776,1/11/2016
Nov-16,School Student,Light Rail,5599,1/11/2016
Nov-16,Senior/Pensioner,Light Rail,130118,1/11/2016
Nov-16,Sgl Trip LR Adult,Light Rail,2204,1/11/2016
Nov-16,Sgl Trip LR Child/Youth,Light Rail,344,1/11/2016
