Year_Month,Card_type,Line,Trip
Jul-16,Concession,Dulwich Hill Line,928
Jul-16,Child/Youth,Dulwich Hill Line,1429
Jul-16,Adult,Dulwich Hill Line,15692
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,16
Jul-16,Free Travel,Dulwich Hill Line,41
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,109
Jul-16,Senior/Pensioner,Dulwich Hill Line,4334
Jul-16,Employee,Dulwich Hill Line,1
Jul-16,Concession,Dulwich Hill Line,941
Jul-16,Child/Youth,Dulwich Hill Line,2067
Jul-16,Adult,Dulwich Hill Line,19170
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,22
Jul-16,Senior/Pensioner,Dulwich Hill Line,4481
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,9
Jul-16,Free Travel,Dulwich Hill Line,14
Jul-16,Concession,Dulwich Hill Line,1366
Jul-16,Child/Youth,Dulwich Hill Line,1319
Jul-16,Adult,Dulwich Hill Line,18906
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,3
Jul-16,School Student,Dulwich Hill Line,4
Jul-16,Free Travel,Dulwich Hill Line,21
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,47
Jul-16,Senior/Pensioner,Dulwich Hill Line,4006
Jul-16,Concession,Dulwich Hill Line,1073
Jul-16,Child/Youth,Dulwich Hill Line,1475
Jul-16,Adult,Dulwich Hill Line,29133
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,4
Jul-16,School Student,Dulwich Hill Line,1
Jul-16,Free Travel,Dulwich Hill Line,21
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,36
Jul-16,Senior/Pensioner,Dulwich Hill Line,3564
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,19
Jul-16,Senior/Pensioner,Dulwich Hill Line,3735
Jul-16,Concession,Dulwich Hill Line,1092
Jul-16,Child/Youth,Dulwich Hill Line,1629
Jul-16,Adult,Dulwich Hill Line,28180
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,4
Jul-16,Free Travel,Dulwich Hill Line,22
Jul-16,Concession,Dulwich Hill Line,917
Jul-16,Child/Youth,Dulwich Hill Line,1203
Jul-16,Adult,Dulwich Hill Line,20176
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,10
Jul-16,School Student,Dulwich Hill Line,128
Jul-16,Free Travel,Dulwich Hill Line,32
Jul-16,Employee,Dulwich Hill Line,1
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,45
Jul-16,Senior/Pensioner,Dulwich Hill Line,4083
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,11
Jul-16,Senior/Pensioner,Dulwich Hill Line,3915
Jul-16,Concession,Dulwich Hill Line,786
Jul-16,Child/Youth,Dulwich Hill Line,1778
Jul-16,Adult,Dulwich Hill Line,18254
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,9
Jul-16,Free Travel,Dulwich Hill Line,26
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,12
Jul-16,Senior/Pensioner,Dulwich Hill Line,4818
Jul-16,Concession,Dulwich Hill Line,811
Jul-16,Child/Youth,Dulwich Hill Line,1761
Jul-16,Adult,Dulwich Hill Line,18666
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,5
Jul-16,Free Travel,Dulwich Hill Line,23
Jul-16,Concession,Dulwich Hill Line,671
Jul-16,Child/Youth,Dulwich Hill Line,1755
Jul-16,Adult,Dulwich Hill Line,16826
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,14
Jul-16,Free Travel,Dulwich Hill Line,15
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,28
Jul-16,Senior/Pensioner,Dulwich Hill Line,3911
Jul-16,Concession,Dulwich Hill Line,754
Jul-16,Child/Youth,Dulwich Hill Line,2330
Jul-16,Adult,Dulwich Hill Line,17888
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,3
Jul-16,Senior/Pensioner,Dulwich Hill Line,4126
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,6
Jul-16,Free Travel,Dulwich Hill Line,13
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,17
Jul-16,Senior/Pensioner,Dulwich Hill Line,3541
Jul-16,Concession,Dulwich Hill Line,777
Jul-16,Child/Youth,Dulwich Hill Line,1303
Jul-16,Adult,Dulwich Hill Line,20473
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,6
Jul-16,Free Travel,Dulwich Hill Line,13
Jul-16,Concession,Dulwich Hill Line,817
Jul-16,Child/Youth,Dulwich Hill Line,1223
Jul-16,Adult,Dulwich Hill Line,14312
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,12
Jul-16,Free Travel,Dulwich Hill Line,26
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,64
Jul-16,Senior/Pensioner,Dulwich Hill Line,4276
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,47
Jul-16,Senior/Pensioner,Dulwich Hill Line,4076
Jul-16,Concession,Dulwich Hill Line,767
Jul-16,Child/Youth,Dulwich Hill Line,2018
Jul-16,Adult,Dulwich Hill Line,17299
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,16
Jul-16,Free Travel,Dulwich Hill Line,18
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,28
Jul-16,Senior/Pensioner,Dulwich Hill Line,3624
Jul-16,Concession,Dulwich Hill Line,1062
Jul-16,Child/Youth,Dulwich Hill Line,1653
Jul-16,Adult,Dulwich Hill Line,28631
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,12
Jul-16,Free Travel,Dulwich Hill Line,25
Jul-16,Concession,Dulwich Hill Line,792
Jul-16,Child/Youth,Dulwich Hill Line,1297
Jul-16,Adult,Dulwich Hill Line,17822
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,8
Jul-16,School Student,Dulwich Hill Line,60
Jul-16,Free Travel,Dulwich Hill Line,21
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,29
Jul-16,Senior/Pensioner,Dulwich Hill Line,4406
Jul-16,Concession,Dulwich Hill Line,809
Jul-16,Child/Youth,Dulwich Hill Line,1521
Jul-16,Adult,Dulwich Hill Line,18348
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,27
Jul-16,Senior/Pensioner,Dulwich Hill Line,4087
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,10
Jul-16,Free Travel,Dulwich Hill Line,19
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,6
Jul-16,Senior/Pensioner,Dulwich Hill Line,4362
Jul-16,Concession,Dulwich Hill Line,967
Jul-16,Child/Youth,Dulwich Hill Line,1838
Jul-16,Adult,Dulwich Hill Line,20434
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,4
Jul-16,Free Travel,Dulwich Hill Line,24
Jul-16,Concession,Dulwich Hill Line,852
Jul-16,Child/Youth,Dulwich Hill Line,1290
Jul-16,Adult,Dulwich Hill Line,18001
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,17
Jul-16,School Student,Dulwich Hill Line,97
Jul-16,Free Travel,Dulwich Hill Line,23
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,46
Jul-16,Senior/Pensioner,Dulwich Hill Line,4827
Jul-16,Concession,Dulwich Hill Line,842
Jul-16,Child/Youth,Dulwich Hill Line,1321
Jul-16,Adult,Dulwich Hill Line,17905
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,6
Jul-16,School Student,Dulwich Hill Line,135
Jul-16,Free Travel,Dulwich Hill Line,24
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,45
Jul-16,Senior/Pensioner,Dulwich Hill Line,5236
Jul-16,Concession,Dulwich Hill Line,1082
Jul-16,Child/Youth,Dulwich Hill Line,1257
Jul-16,Adult,Dulwich Hill Line,29511
Jul-16,Sgl Trip LR Child/Youth,Dulwich Hill Line,8
Jul-16,School Student,Dulwich Hill Line,126
Jul-16,Free Travel,Dulwich Hill Line,26
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,32
Jul-16,Senior/Pensioner,Dulwich Hill Line,3523
Jul-16,Concession,Dulwich Hill Line,869
Jul-16,Child/Youth,Dulwich Hill Line,1844
Jul-16,Adult,Dulwich Hill Line,18124
Jul-16,Sgl Trip LR Adult,Dulwich Hill Line,21
