Year_Month,Card_type,Line,Trip
Jul-16,Adult,Blue Mountains Line,537669
Jul-16,Child/Youth,Blue Mountains Line,36387
Jul-16,Concession,Blue Mountains Line,60238
Jul-16,Employee,Blue Mountains Line,10085
Jul-16,Free Travel,Blue Mountains Line,919
Jul-16,School Student,Blue Mountains Line,14260
Jul-16,Senior/Pensioner,Blue Mountains Line,99285
Jul-16,Sgl Trip Rail Adult,Blue Mountains Line,1341
Jul-16,Sgl Trip Rail Child/Youth,Blue Mountains Line,622
Jul-16,Adult,Central Coast & Newcastle Line,1073971
Jul-16,Child/Youth,Central Coast & Newcastle Line,75665
Jul-16,Concession,Central Coast & Newcastle Line,120568
Jul-16,Employee,Central Coast & Newcastle Line,21733
Jul-16,Free Travel,Central Coast & Newcastle Line,1922
Jul-16,School Student,Central Coast & Newcastle Line,64031
Jul-16,Senior/Pensioner,Central Coast & Newcastle Line,205808
Jul-16,Sgl Trip Rail Adult,Central Coast & Newcastle Line,2030
Jul-16,Sgl Trip Rail Child/Youth,Central Coast & Newcastle Line,659
Jul-16,Adult,Hunter Line,35095
Jul-16,Child/Youth,Hunter Line,3417
Jul-16,Concession,Hunter Line,9780
Jul-16,Employee,Hunter Line,660
Jul-16,Free Travel,Hunter Line,103
Jul-16,School Student,Hunter Line,7546
Jul-16,Senior/Pensioner,Hunter Line,16455
Jul-16,Sgl Trip Rail Adult,Hunter Line,335
Jul-16,Sgl Trip Rail Child/Youth,Hunter Line,177
Jul-16,Adult,South Coast Line,534213
Jul-16,Child/Youth,South Coast Line,34743
Jul-16,Concession,South Coast Line,65951
Jul-16,Employee,South Coast Line,6852
Jul-16,Free Travel,South Coast Line,696
Jul-16,School Student,South Coast Line,13036
Jul-16,Senior/Pensioner,South Coast Line,92599
Jul-16,Sgl Trip Rail Adult,South Coast Line,1514
Jul-16,Sgl Trip Rail Child/Youth,South Coast Line,428
Jul-16,Adult,Southern Highlands Line,44136
Jul-16,Child/Youth,Southern Highlands Line,5820
Jul-16,Concession,Southern Highlands Line,8861
Jul-16,Employee,Southern Highlands Line,883
Jul-16,Free Travel,Southern Highlands Line,180
Jul-16,School Student,Southern Highlands Line,776
Jul-16,Senior/Pensioner,Southern Highlands Line,16183
Jul-16,Sgl Trip Rail Adult,Southern Highlands Line,89
Jul-16,Sgl Trip Rail Child/Youth,Southern Highlands Line,41
Jul-16,Adult,"T1 North Shore, Northern and Western Line",8575135
Jul-16,Child/Youth,"T1 North Shore, Northern and Western Line",432083
Jul-16,Concession,"T1 North Shore, Northern and Western Line",790206
Jul-16,Employee,"T1 North Shore, Northern and Western Line",101255
Jul-16,Free Travel,"T1 North Shore, Northern and Western Line",9429
Jul-16,School Student,"T1 North Shore, Northern and Western Line",217702
Jul-16,Senior/Pensioner,"T1 North Shore, Northern and Western Line",880165
Jul-16,Sgl Trip Rail Adult,"T1 North Shore, Northern and Western Line",20587
Jul-16,Sgl Trip Rail Child/Youth,"T1 North Shore, Northern and Western Line",7516
Jul-16,Adult,"T2 Airport, Inner West and South Line",5266404
Jul-16,Child/Youth,"T2 Airport, Inner West and South Line",237705
Jul-16,Concession,"T2 Airport, Inner West and South Line",527290
Jul-16,Employee,"T2 Airport, Inner West and South Line",63235
Jul-16,Free Travel,"T2 Airport, Inner West and South Line",5175
Jul-16,School Student,"T2 Airport, Inner West and South Line",83558
Jul-16,Senior/Pensioner,"T2 Airport, Inner West and South Line",544665
Jul-16,Sgl Trip Rail Adult,"T2 Airport, Inner West and South Line",35335
Jul-16,Sgl Trip Rail Child/Youth,"T2 Airport, Inner West and South Line",5815
Jul-16,Adult,T3 Bankstown Line,1615473
Jul-16,Child/Youth,T3 Bankstown Line,83619
Jul-16,Concession,T3 Bankstown Line,174271
Jul-16,Employee,T3 Bankstown Line,13196
Jul-16,Free Travel,T3 Bankstown Line,1087
Jul-16,School Student,T3 Bankstown Line,28934
Jul-16,Senior/Pensioner,T3 Bankstown Line,227938
Jul-16,Sgl Trip Rail Adult,T3 Bankstown Line,4303
Jul-16,Sgl Trip Rail Child/Youth,T3 Bankstown Line,1630
Jul-16,Adult,T4 Eastern Suburbs & Illawarra Line,3970697
Jul-16,Child/Youth,T4 Eastern Suburbs & Illawarra Line,175608
Jul-16,Concession,T4 Eastern Suburbs & Illawarra Line,292557
Jul-16,Employee,T4 Eastern Suburbs & Illawarra Line,42820
Jul-16,Free Travel,T4 Eastern Suburbs & Illawarra Line,4739
Jul-16,School Student,T4 Eastern Suburbs & Illawarra Line,72369
Jul-16,Senior/Pensioner,T4 Eastern Suburbs & Illawarra Line,425179
Jul-16,Sgl Trip Rail Adult,T4 Eastern Suburbs & Illawarra Line,9115
Jul-16,Sgl Trip Rail Child/Youth,T4 Eastern Suburbs & Illawarra Line,2525
Jul-16,Adult,T5 Cumberland Line,335951
Jul-16,Child/Youth,T5 Cumberland Line,13530
Jul-16,Concession,T5 Cumberland Line,43237
Jul-16,Employee,T5 Cumberland Line,2743
Jul-16,Free Travel,T5 Cumberland Line,98
Jul-16,School Student,T5 Cumberland Line,7556
Jul-16,Senior/Pensioner,T5 Cumberland Line,47463
Jul-16,Sgl Trip Rail Adult,T5 Cumberland Line,324
Jul-16,Sgl Trip Rail Child/Youth,T5 Cumberland Line,84
Jul-16,Adult,T6 Carlingford Line,31864
Jul-16,Child/Youth,T6 Carlingford Line,790
Jul-16,Concession,T6 Carlingford Line,2667
Jul-16,Employee,T6 Carlingford Line,175
Jul-16,Free Travel,T6 Carlingford Line,12
Jul-16,School Student,T6 Carlingford Line,366
Jul-16,Senior/Pensioner,T6 Carlingford Line,3095
Jul-16,Sgl Trip Rail Adult,T6 Carlingford Line,10
Jul-16,Sgl Trip Rail Child/Youth,T6 Carlingford Line,2
Jul-16,Adult,T7 Olympic Park Line,124590
Jul-16,Child/Youth,T7 Olympic Park Line,7793
Jul-16,Concession,T7 Olympic Park Line,9387
Jul-16,Employee,T7 Olympic Park Line,437
Jul-16,Free Travel,T7 Olympic Park Line,35
Jul-16,School Student,T7 Olympic Park Line,1175
Jul-16,Senior/Pensioner,T7 Olympic Park Line,8427
Jul-16,Sgl Trip Rail Adult,T7 Olympic Park Line,291
Jul-16,Sgl Trip Rail Child/Youth,T7 Olympic Park Line,65
Aug-16,Adult,Blue Mountains Line,578758
Aug-16,Child/Youth,Blue Mountains Line,28601
Aug-16,Concession,Blue Mountains Line,73100
Aug-16,Employee,Blue Mountains Line,11719
Aug-16,Free Travel,Blue Mountains Line,1158
Aug-16,School Student,Blue Mountains Line,31641
Aug-16,Senior/Pensioner,Blue Mountains Line,106916
Aug-16,Sgl Trip Rail Adult,Blue Mountains Line,5392
Aug-16,Sgl Trip Rail Child/Youth,Blue Mountains Line,1428
Aug-16,Adult,Central Coast & Newcastle Line,1125393
Aug-16,Child/Youth,Central Coast & Newcastle Line,56945
